product_id,supplier_id,product_name,category,price_usd
10023,9884,Bose SoundLink Max Portable Bluetooth Speaker,Electronics,181.29
10153,1017,Milwaukee M18 Impact Wrench with Friction Ring,Tools & Hardware,602.09
10571,5389,Fjallraven Kanken Classic Backpack,Sports & Outdoors,84.99
10621,3589,Vans Old Skool Canvas Sneakers,Clothing & Apparel,165.19
11313,1848,Bulova Diamonds and Stainless Steel Round Face Watch,Jewelry & Accessories,78.49
11426,4757,J.Crew Factory Broken-In Boyfriend Sweater,Clothing & Apparel,1071.19
11453,1287,Xerox Premium Copy Paper - 80gsm A4 500 Sheets,Office Supplies,1304.19
11575,9057,Braun MultiQuick 5 Immersion Blender Hand Mixer,Home & Kitchen,233.29
11811,4476,Filippo Berio Extra Virgin Olive Oil 500ml,Grocery & Gourmet,250.49
12224,6079,DJI Air 3S Compact Camera Drone with 48MP,Electronics,734.79
12377,6919,Smead SuperTab File Folders - Reinforced Tab 100/Box,Office Supplies,175.59
12576,8813,KitchenAid Stand Mixer Pro 5-Quart,Home & Kitchen,134.49
12852,9756,Philips Air Fryer Compact Digital XL 1400W,Home & Kitchen,262.49
13169,9123,Oura Ring Generation 3 Smart Ring,Health & Wellness,1030.09
13185,2840,Lindt Lindor Assorted Chocolate Truffles 200g,Grocery & Gourmet,205.29
14042,3898,Beala Jade Roller and Gua Sha Set,Health & Wellness,77.29
14109,2840,Gillette Venus Breeze Razor Blade Refills,Beauty & Personal Care,225.49
14920,3686,VEVOR Pneumatic Air Nailer Combo Kit,Tools & Hardware,249.99
14979,8846,Shark Navigate Lift-Away Upright Vacuum,Home & Kitchen,582.09
15081,9884,Columbia Silver Ridge Cargo Shorts,Clothing & Apparel,108.99
15578,6919,Outward Hound Puzzle Enrichment Dog Toy,Pet Supplies,78.69
15626,4757,Ravensburger 1000-Piece Puzzle Underwater Kingdom,Toys & Games,429.09
15918,6993,Esselte Pendaflex Vertical File Folders - Letter Size Green,Office Supplies,32.99
16086,7747,Sports Research MCT Oil Supplement,Health & Wellness,36.99
16236,8603,Pokémon Trading Card Game Booster Box,Toys & Games,4.99
16257,9977,Calvin Klein Modal Crew Neck Boxers,Clothing & Apparel,154.99
16353,8846,Nikon COOLPIX P950 Compact Digital Camera,Sports & Outdoors,105.99
16749,4476,Salomon Quest 4D 3 GTX Hiking Boots,Sports & Outdoors,231.39
16805,2769,Kobalt 48-Compartment Plastic Tool Organizer,Tools & Hardware,279.49
17576,3898,Ryobi 10-Inch Sliding Compound Miter Saw,Tools & Hardware,214.09
17582,2974,Raindrip Drip Irrigation Kit,Garden & Patio,83.39
17838,7547,Osprey Atmos AG 65L Backpacking Pack,Sports & Outdoors,85.99
18070,9133,Canon EOS R6 Mark II Mirrorless Digital Camera,Electronics,277.99
18398,4202,Cuisinart DCC-3200 Programmable Drip Coffee Maker,Home & Kitchen,283.19
18476,9663,Suncast Resin Wicker Outdoor Storage Deck Box,Garden & Patio,11.09
19011,8269,Senco 23-Gauge Pneumatic Brad Nailer,Tools & Hardware,198.89
19021,3141,Vital Proteins Collagen Peptides Powder 567g,Grocery & Gourmet,253.09
19177,4757,Michelin Defender T+H All-Season Tire 205/55R16,Automotive,100.79
19403,4476,Weathertech Front Floor Mats Laser Fit,Automotive,228.99
19409,9160,Motul Synthetic Transmission Fluid ATF VI,Automotive,67.99
20043,6919,Levi's 501 Original Fit Jeans,Clothing & Apparel,165.99
20054,4750,Fisher-Price Laugh & Learn Smart Stages Chair,Toys & Games,196.99
20074,8632,OEM Toyota Genuine Spark Plug Set Iridium,Automotive,1064.09
20430,8846,Peloton Digital Fitness Membership,Health & Wellness,198.89
20482,4302,Garmin Fenix 7X GPS Smartwatch Titanium,Electronics,592.49
20888,1017,Bosch 1/4-Sheet Orbital Random Sander,Tools & Hardware,65.99
21230,9756,Husky 52-Inch Adjustable Steel Workbench,Tools & Hardware,90.79
21508,3581,Q-Connect Desk Lamp - LED 5W Adjustable Brightness,Office Supplies,97.89
22057,7747,Funko Pop! Marvel Spider-Man Collectible Figure,Toys & Games,294.89
22393,1017,"Amazon Echo Show 15 16"" Smart Display",Electronics,1060.09
23045,8686,Dune: Part Two - 4K Ultra HD Blu-ray + Digital Copy,Books & Media,713.69
23323,1186,Banana Republic Tailored Fit Blazer,Clothing & Apparel,293.99
23364,7056,Oral-B Pro 7000 SmartSeries Electric Toothbrush,Beauty & Personal Care,143.99
24242,1429,Merrell Moab 2 Vent Hiking Shoes,Sports & Outdoors,116.99
25536,3041,Kerrygold Irish Butter 227g,Grocery & Gourmet,208.09
25979,9884,Polywood Adirondack Chair in Recycled Plastic,Garden & Patio,215.99
26245,8022,The Midnight Library by Matt Haig - Hardcover Edition,Books & Media,107.79
26270,7766,Calphalon Contemporary Nonstick 10-Piece Cookware Set,Home & Kitchen,749.99
26399,1287,Champion Reverse Weave Fleece Hoodie,Clothing & Apparel,179.19
26740,9133,LEGO Star Wars Millennium Falcon 75192,Toys & Games,216.59
26750,9160,Bosch Icon Windshield Wiper Blades Set,Automotive,78.79
26798,1429,DeWalt 20V Max Cordless Drill/Driver Kit,Tools & Hardware,18.59
26994,1547,Brighton Collectibles Interlok Hinged Cuff Bracelet,Jewelry & Accessories,84.39
27057,4750,Craftsman 230-Piece Mechanics Tool Set,Tools & Hardware,353.39
27460,1472,Keter Classic Vertical Garden Planter,Garden & Patio,968.99
27536,8351,Adidas Ultraboost 22 Running Shoes,Clothing & Apparel,216.99
27600,4975,Athletic Greens AG1 Daily Greens Powder,Health & Wellness,1470.79
27849,9977,Brooks Brothers Non-Iron Oxford Button-Down Shirt,Clothing & Apparel,123.59
28650,2840,Theragun Prime Massage Gun,Health & Wellness,96.69
29305,1287,CeraVe Foaming Facial Cleanser,Beauty & Personal Care,210.19
29892,3581,FoodSaver V4840 Vacuum Sealing System with Bags,Home & Kitchen,44.09
30041,6993,The Legend of Zelda: Tears of the Kingdom - Official Complete Strategy Guide,Books & Media,112.09
30919,3141,Summit Racing Electric Fuel Pump Assembly 12V,Automotive,135.79
31675,8253,AmazonBasics 24-Piece Titanium Drill Bit Set,Tools & Hardware,41.49
32091,1547,Sony WH-1000XM5 Wireless Noise Cancelling Headphones,Electronics,81.39
32457,7389,RXBAR Protein Energy Bar Variety Pack,Health & Wellness,550.79
32511,7389,Pandora Charm Bracelet with Rose Gold Clips,Jewelry & Accessories,62.59
32640,1323,Hot Wheels 50-Car Ultimate Garage Playset,Toys & Games,234.89
32938,6993,Fancy Feast Gourmet Cat Food Wet Mix,Pet Supplies,1148.89
33209,4757,Dorman Engine Coolant Hoses Radiator Replacement Kit,Automotive,384.69
33344,2769,Patagonia Synchilla Fleece Vest,Sports & Outdoors,1109.59
33606,7747,MelissaandDoug Magnetic Dress-Up Dolls Activity Set,Toys & Games,285.99
33935,3581,Arm & Hammer Deodorant Ultramax Solid,Beauty & Personal Care,201.99
34241,6993,GoPro Hero 12 Black Action Camera 5.3K,Electronics,143.99
34871,7569,Barbie - 4K Ultra HD Blu-ray Steelbook Limited Edition,Books & Media,6.59
35273,4202,SmartCat Multi-Level Carpet Cat Tree Condo,Pet Supplies,213.19
35573,5556,Nikon D850 45.7MP Full-Frame DSLR Body,Electronics,580.69
35798,8632,Corsair K95 Platinum XT Mechanical Gaming Keyboard,Electronics,82.99
36209,1400,Kate Spade New York Cedar Street Leather Crossbody Bag,Jewelry & Accessories,189.99
36224,7056,Epson LabelWorks LW-700 Label Maker,Office Supplies,56.09
36262,4302,Listerine Advanced Defense Mouthwash,Beauty & Personal Care,233.99
36496,1400,Benebone Dental Chew Dog Toy Peanut Flavor,Pet Supplies,5.69
36591,9133,Sapiens: A Brief History of Humankind by Yuval Noah Harari,Books & Media,162.99
37489,4939,OXO Good Grips 3-Piece Mixing Bowl Set with Lids,Home & Kitchen,17.69
37490,3898,SleepScore Max Sleep Tracking Device,Health & Wellness,159.99
37681,4757,3M Post-it Notes - 76x127mm Neon Assortment,Office Supplies,185.69
37742,7766,Razer DeathAdder V3 Pro Wireless Gaming Mouse,Electronics,193.59
39417,7747,Taylor Swift - The Eras Tour Concert Film DVD,Books & Media,192.59
40676,1186,Maybelline Lash Sensational Sky High Mascara,Beauty & Personal Care,899.09
